obj,avg_cost,budget,avg_cost_normalized,setup_number,test_number,num_reps,num_candidates,num_training_samples,ratio,num_users_TSG,num_users_CELF,alpha,beta
modular,6.143284824415375,13.014636147252562,0.4720289338025209,10,10,10,89,100,1.016054568374971,2,2,2,8
CES-2,0.4344345536395213,13.033036609185634,0.03333333333333333,1,1,10,89,100,1.0044971661340591,30,30,2,8
CES-2,0.4349247770637621,13.047743311912866,0.03333333333333333,1,2,10,89,100,1.0,30,30,2,8
CES-2,0.43389915223712383,13.016974567113714,0.03333333333333333,1,3,10,89,100,0.9932012947752858,29,29,2,8
CES-2,0.4351500610411066,13.054501831233196,0.03333333333333333,1,4,10,89,100,1.0022994835319352,30,30,2,8
CES-2,0.4319789383958113,12.959368151874335,0.03333333333333333,1,5,10,89,100,0.9977591933629176,29,29,2,8
CES-2,0.43759824344227055,13.127947303268115,0.03333333333333333,1,6,10,89,100,1.0012275614769703,30,30,2,8
CES-2,0.4355773065264649,13.067319195793948,0.03333333333333333,1,7,10,89,100,1.0,30,30,2,8
CES-2,0.4343440883781581,13.030322651344745,0.03333333333333333,1,8,10,89,100,0.9995973236375241,30,30,2,8
CES-2,0.43257579036469945,12.977273710940983,0.03333333333333333,1,9,10,89,100,0.9975992624545768,29,29,2,8
CES-2,0.4332533562576301,12.997600687728903,0.03333333333333333,1,10,10,89,100,0.9981259161618316,30,30,2,8
CES-2,1.0804942342886572,13.10831599428235,0.08242814979131967,2,1,10,89,100,1.0,10,10,2,8
CES-2,1.07713218303515,13.082734894202476,0.08233234042772462,2,2,10,89,100,0.986673685570355,10,10,2,8
CES-2,1.0713013524909971,13.03828067921762,0.08216584524051543,2,3,10,89,100,1.0028986134731706,10,10,2,8
CES-2,1.0763938107822626,13.077111783715653,0.08231128008882267,2,4,10,89,100,1.0131469021341355,10,10,2,8
CES-2,1.078178366404011,13.090699069018624,0.08236216879782257,2,5,10,89,100,1.0066644162375544,10,10,2,8
CES-2,1.0722678832152241,13.045657313129587,0.08219347308288234,2,6,10,89,100,0.9936388257058704,10,10,2,8
CES-2,1.0790670105911442,13.097461121992419,0.08238749483892292,2,7,10,89,100,1.0,10,10,2,8
CES-2,1.072549373055581,13.047805079661849,0.08220151715229157,2,8,10,89,100,0.9797628831859384,10,10,2,8
CES-2,1.07307834637932,13.051840431316887,0.0822166308289022,2,9,10,89,100,1.0020914108426655,10,10,2,8
CES-2,1.0799519816252008,13.104192635775895,0.08241270650103331,2,10,10,89,100,1.0063030508343698,10,10,2,8
CES-2,1.7077144912924704,13.037061118588955,0.13098922186208956,3,1,10,89,100,1.0032383328468633,6,6,2,8
CES-2,1.7015071491407596,13.009888559168768,0.13078568209115182,3,2,10,89,100,1.0,6,6,2,8
CES-2,1.6971576326318978,12.990819693869874,0.13064284414883806,3,3,10,89,100,1.0157200250602765,6,6,2,8
CES-2,1.716567721804383,13.075732526937564,0.13127889533286566,3,4,10,89,100,0.9978723494951732,6,6,2,8
CES-2,1.7162681964350148,13.074425780861008,0.13126910697274166,3,5,10,89,100,0.9876810056883608,6,6,2,8
CES-2,1.7062905176709584,13.030831970399813,0.13094256157602854,3,6,10,89,100,0.9927723451046838,6,6,2,8
CES-2,1.7062638967176604,13.030715493276865,0.13094168908821618,3,7,10,89,100,1.0,6,6,2,8
CES-2,1.7082656350717071,13.039471405262384,0.13100727644391294,3,8,10,89,100,1.0,6,6,2,8
CES-2,1.7092081301465132,13.043592285294654,0.131038144459136,3,9,10,89,100,1.0,6,6,2,8
CES-2,1.7018364909883572,13.011331466168153,0.13079649038328206,3,10,10,89,100,0.9768500910772518,6,6,2,8
CES-2,2.340600460189997,13.025757566329794,0.1796901599213086,4,1,10,89,100,1.0150051576146275,5,4,2,8
CES-2,2.339670027175114,13.022903607939995,0.17965809297310853,4,2,10,89,100,0.9490627782563548,5,4,2,8
